agent_id;agent_type;gamma;epsilon;lr;input_dims;mem_size;batch_size;eps_min;eps_dec;replace;n_neurons_layer;dropout;random_update;lookup_step;max_epi_len
100;DRQN;0.99;0.9;0.001;22;1000;64;0.01;5e-07;1000;512;0.1;True;10;3000
1;DQN;0.99;0.7;0.01;5;1000;64;0.2;0.00003;3;64;0.1;;;
2;DQN;0.9;0.7;0.01;5;1000;64;0.2;0.00003;3;64;0.1;;;
3;DQN;0.85;0.7;0.01;5;1000;64;0.2;0.00003;3;64;0.1;;;
4;DQN;0.85;0.7;0.001;300;1000;32;0.1;0.00003;3;64;0.1;;;
5;DQN;0.9;0.7;0.001;300;1000;32;0.1;0.00003;3;64;0.1;;;
6;DQN;0.99;0.7;0.001;300;1000;32;0.1;0.00003;500;64;0.1;;;
7;DQN;0.9;0.7;0.001;500;10000;64;0.1;0.00003;500;64;0.1;;;
8;DQN;0.9;0.7;0.001;500;10000;64;0.1;0.00003;500;64;0.1;;;
9;DQN;0.9;0.7;0.001;500;10000;64;0.1;0.00003;500;64;0.1;;;
10;DQN;0.9;0.7;0.001;500;10000;64;0.1;0.00003;1000;64;0.1;;;
11;DQN;0.9;0.7;0.001;500;10000;64;0.1;0.00003;1500;64;0.1;;;
12;DQN;0.9;0.7;0.001;500;10000;64;0.1;0.00003;2000;64;0.1;;;
13;DQN;0.9;0.7;0.001;500;10000;64;0.1;0.00003;2500;64;0.1;;;
14;DQN;0.9;0.7;0.001;500;10000;64;0.1;0.00003;3500;64;0.1;;;
15;DQN;0.9;0.7;0.001;500;10000;64;0.1;0.00003;4500;64;0.1;;;
16;DQN;0.9;0.7;0.001;500;10000;64;0.1;0.00003;5500;64;0.1;;;
17;DQN;0.99;0.9;0.001;22;1000;10;0.01;0.0003;1000;128;0.3;;;
18;DQN;0.99;0.9;0.0001;22;1000;10;0.01;0.0003;1000;128;0.3;;;
19;DQN;0.99;0.9;0.01;22;1000;10;0.01;0.0003;1000;256;0.1;;;
20;DQN;0.99;0.9;0.001;22;10;10;0.01;0.0003;1000;256;0.1;;;
21;DQN;0.99;0.9;0.0001;22;1000;10;0.01;0.0003;1000;256;0.1;;;
22;DQN;0.99;0.9;0.01;22;1000;10;0.01;0.0003;1000;256;0.2;;;
23;DQN;0.99;0.9;0.001;22;1000;10;0.01;0.0003;1000;256;0.2;;;
24;DQN;0.99;0.9;0.0001;22;1000;10;0.01;0.0003;1000;256;0.2;;;
25;DQN;0.99;0.9;0.01;22;1000;10;0.01;0.0003;1000;256;0.3;;;
26;DQN;0.99;0.9;0.001;22;1000;10;0.01;0.0003;1000;256;0.3;;;
27;DQN;0.99;0.9;0.0001;22;1000;10;0.01;0.0003;1000;256;0.3;;;
28;DDDQN;0.9;0.9;0.0001;22;100000;10;0.2;0.0003;1000;512;0.1;;;
